COLEGIO_NAME,DONE
CP INF-PRI JOAQUIN COSTA,1
CP INF-PRI LEGADO CRESPO,1
CP INF-PRI MARQUES DE MARCENADO,1
CP INF-PRI MENENDEZ Y PELAYO,1
CP INF-PRI MIGUEL DE UNAMUNO,1
CP INF-PRI PLACIDO DOMINGO,1
CP INF-PRI SAN EUGENIO Y SAN ISIDRO,1
CP INF-PRI TIRSO DE MOLINA,1
CP INF-PRI TOMAS BRETON,1
CEPA ARGANZUELA,1
IES GRAN CAPITÁN,1
IES JUAN DE LA CIERVA,1
CP INF-PRI CALDERON DE LA BARCA,1
CP INF-PRI CIUDAD DE GUADALAJARA,1
CP INF-PRI CIUDAD DE ZARAGOZA,1
CP INF-PRI MARGARET THATCHER,1
CP INF-PRI NURIA ESPERT,1
IES ALAMEDA DE OSUNA,1
IES BARAJAS,1
EEI LOS TITERES,1
EEI ROGER DE FLOR,1
CP INF-PRI ANTONIO MACHADO,1
CP INF-PRI ARCIPRESTE DE HITA,1
CP INF-PRI CAPITAN CORTES,1
CP INF-PRI CONCEPCION ARENAL,1
CP INF-PRI GONZALO DE BERCEO,1
CP INF-PRI HAITI,1
CP INF-PRI ISAAC PERAL,1
CP INF-PRI JULIAN BESTEIRO,1
CP INF-PRI LOPE DE VEGA,1
CP INF-PRI MAESTRO PADILLA,1
CP INF-PRI MIGUEL SERVET,1
CP INF-PRI PARQUE EUGENIA DE MONTIJO,1
CP INF-PRI PERU,1
CP INF-PRI PINAR DE SAN JOSE,1
CP INF-PRI REPUBLICA DE COLOMBIA,1
CP INF-PRI REPUBLICA DE ECUADOR,1
CP INF-PRI REPUBLICA DOMINICANA,1
CP INF-PRI SAN IGNACIO DE LOYOLA,1
CP EE INMACULADA CONCEPCION,1
CP EE MARIA SORIANO,1
CEPA OPORTO,1
CEPA PAN BENDITO,1
CEPA VISTA ALEGRE,1
UFIL PUERTA BONITA,1
CET PRADERA DE SAN ISIDRO,1
IES CALDERON DE LA BARCA,1
IES EMILIO CASTELAR,1
IES EMPERATRIZ MARIA DE AUSTRIA,1
IES FRANCISCO AYALA,1
IES PUERTA BONITA,1
IES RENACIMIENTO,1
IES VISTA ALEGRE,1
EOEP GENERAL EQUIPO GENERAL,1
CP INF-PRI ANTONIO MORENO ROSALES,1
CP INF-PRI EMILIA PARDO BAZAN,1
CP INF-PRI ISABEL LA CATOLICA,1
CP INF-PRI NUESTRA SEÑORA DE LA,1
CP INF-PRI PALACIO VALDES,1
CP INF-PRI PI I MARGALL,1
CP INF-PRI SAN ILDEFONSO,1
CP INF-PRI SANTA MARIA,1
CP INF-PRI VAZQUEZ DE MELLA,1
CEPA DISTRITO CENTRO,1
IES CARDENAL CISNEROS,1
IES CERVANTES,1
IES LOPE DE VEGA,1
IES SAN ISIDRO,1
IES SANTA TERESA DE JESUS,1
EOEP GENERAL EQUIPO GENERAL CENTRO-,1
EEI ROSA,1
CP INF-PRI ARQUITECTO GAUDI,1
CP INF-PRI ISAAC ALBENIZ,1
CP INF-PRI LUIS BELLO,1
CP INF-PRI PADRE POVEDA,1
CP INF-PRI PATRIARCA OBISPO EIJO,1
CP INF-PRI PINTOR ROSALES,1
CP INF-PRI RAMIRO DE MAEZTU,1
CP INF-PRI SAN JUAN DE LA CRUZ,1
IES CLARA DEL REY,1
IES RAMIRO DE MAEZTU,1
IES SANTAMARCA,1
EEI EL VALLE,1
EEI VALLEHERMOSO,1
CP INF-PRI CERVANTES,1
CP INF-PRI CLAUDIO MOYANO,1
CP INF-PRI DE PRACTICAS ASUNCION,1
CP INF-PRI FERNANDO EL CATOLICO,1
CP INF-PRI RUFINO BLANCO,1
CP INF-PRI SAN CRISTOBAL,1
IES FORTUNY,1
IES ISLAS FILIPINAS,1
IES JOAQUÍN TURINA,1
IES SAN ISIDORO DE SEVILLA,1
IES SANTA ENGRACIA,1
EEI EL ENCINAR,1
EEI EL PILAR,1
CP INF-PRI CARLOS V,1
CP INF-PRI CONDE DE ROMANONES,1
CP INF-PRI GANDHI,1
CP INF-PRI GUSTAVO ADOLFO BECQUER,1
CP INF-PRI JOAQUIN TURINA,1
CP INF-PRI LEOPOLDO ALAS,1
CP INF-PRI MEJICO,1
CP INF-PRI MIGUEL BLASCO VILATELA,1
CP INF-PRI NUESTRA SEÑORA DE LA,1
CP INF-PRI SAN BENITO,1
CP INF-PRI SAN JUAN BAUTISTA,1
CP INF-PRI SAN JUAN BOSCO,1
