code,name,tipo,titularidad,titular,mncp,dircc,tlf,fax,web,email,jornada
28010722,"CP INF-PRI ""JOAQUIN COSTA""",COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,Público,COMUNIDAD DE MADRID,Madrid-Capital,"paseo de pontones 8, 28005, Madrid (Arganzuela).",913653632,,http://www.educa.madrid.org/cp.joaquincosta.madrid,cp.joaquincosta.madrid@educa.madrid.org,Jornada partida
28010722,"CP INF-PRI ""JOAQUIN COSTA""",COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,Público,COMUNIDAD DE MADRID,Madrid-Capital,"paseo de pontones 8, 28005, Madrid (Arganzuela).",913653632,,http://www.educa.madrid.org/cp.joaquincosta.madrid,cp.joaquincosta.madrid@educa.madrid.org,Jornada partida
28010761,"CP INF-PRI ""LEGADO CRESPO""",COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,Público,COMUNIDAD DE MADRID,Madrid-Capital,"paseo de las acacias 2, 28005, Madrid (Arganzuela).",915286325,915286325,http://www.educa.madrid.org/cp.legadocrespo.madrid,cp.legadocrespo.madrid@educa.madrid.org,Jornada continua
28005830,"CP INF-PRI ""MARQUES DE MARCENADO""",COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,Público,MINISTERIO DE DEFENSA,Madrid-Capital,"calle de linneo 31, 28005, Madrid (Arganzuela).",913658588,913669822,http://www.educa.madrid.org/cp.marquesdemarcenado.madrid,cp.marquesdemarcenado.madrid@educa.madrid.org,Jornada continua
28005881,,,,,,,,,,,
28010850,,,,,,,,,,,
28071371,"CP INF-PRI ""PLACIDO DOMINGO""",COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,Público,COMUNIDAD DE MADRID,Madrid-Capital,"calle del tejo 5, 28045, Madrid (Arganzuela).",917650789,915302878,http://www.educa.madrid.org/cp.placidodomingo.madrid,cp.placidodomingo.madrid@educa.madrid.org,Jornada partida
28006275,"CP INF-PRI ""SAN EUGENIO Y SAN ISIDRO""",COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,Público,COMUNIDAD DE MADRID,Madrid-Capital,"calle de peñuelas 31, 28005, Madrid (Arganzuela).",914737711,,http://www.educa.madrid.org/cp.saneugenio.madrid,cp.saneugenio.madrid@educa.madrid.org,Jornada partida
28006408,"CP INF-PRI ""TIRSO DE MOLINA""",COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,Público,COMUNIDAD DE MADRID,Madrid-Capital,"calle del bronce 1, 28045, Madrid (Arganzuela).",915278932,914683695,http://www.educa.madrid.org/cp.tirsodemolina.madrid,cp.tirsodemolina.madrid@educa.madrid.org,Jornada partida
28010394,"CP INF-PRI ""TOMAS BRETON""",COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,Público,COMUNIDAD DE MADRID,Madrid-Capital,"calle de alejandro dumas 4, 28005, Madrid (Arganzuela).",913642214,913667387,http://www.educa.madrid.org/cp.tomasbreton.madrid,cp.tomasbreton.madrid@educa.madrid.org,Jornada partida
