code,name,tipo,titularidad,titular,territorio,dircc,tlf,fax,web,email,jornada,mncp,etps_educ,dist_coche,dist_trns_pub,dist_andnd
28010722,"CP INF-PRI ""JOAQUIN COSTA""",COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,Público,COMUNIDAD DE MADRID,Madrid-Capital,"paseo de pontones 8, 28005, Madrid (Arganzuela).",913653632,,http://www.educa.madrid.org/cp.joaquincosta.madrid,cp.joaquincosta.madrid@educa.madrid.org,Jornada partida,Madrid(Arganzuela),InfII - Pri,,,
28010761,"CP INF-PRI ""LEGADO CRESPO""",COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,Público,COMUNIDAD DE MADRID,Madrid-Capital,"paseo de las acacias 2, 28005, Madrid (Arganzuela).",915286325,915286325,http://www.educa.madrid.org/cp.legadocrespo.madrid,cp.legadocrespo.madrid@educa.madrid.org,Jornada continua,Madrid(Arganzuela),InfII - Pri,,,
28005830,"CP INF-PRI ""MARQUES DE MARCENADO""",COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,Público,MINISTERIO DE DEFENSA,Madrid-Capital,"calle de linneo 31, 28005, Madrid (Arganzuela).",913658588,913669822,http://www.educa.madrid.org/cp.marquesdemarcenado.madrid,cp.marquesdemarcenado.madrid@educa.madrid.org,Jornada continua,Madrid(Arganzuela),InfII - Pri,,,
28005881,"CP INF-PRI ""MENENDEZ Y PELAYO""",COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,Público,COMUNIDAD DE MADRID,Madrid-Capital,"calle de méndez álvaro 16, 28045, Madrid (Arganzuela).",915272781/609031857,915397381,http://www.educa.madrid.org/cp.menendezypelayo.madrid,cp.menendezypelayo.madrid@educa.madrid.org,Jornada continua,Madrid(Arganzuela),InfII - Pri,,,
28010850,"CP INF-PRI ""MIGUEL DE UNAMUNO""",COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,Público,COMUNIDAD DE MADRID,Madrid-Capital,"calle de alicante 5, 28045, Madrid (Arganzuela).",915282554/914678620,915282554,http://www.educa.madrid.org/cp.unamuno.madrid,cp.unamuno.madrid@educa.madrid.org,Jornada partida,Madrid(Arganzuela),InfII - Pri,,,
28071371,"CP INF-PRI ""PLACIDO DOMINGO""",COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,Público,COMUNIDAD DE MADRID,Madrid-Capital,"calle del tejo 5, 28045, Madrid (Arganzuela).",917650789,915302878,http://www.educa.madrid.org/cp.placidodomingo.madrid,cp.placidodomingo.madrid@educa.madrid.org,Jornada partida,Madrid(Arganzuela),InfII - Pri,,,
28006275,"CP INF-PRI ""SAN EUGENIO Y SAN ISIDRO""",COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,Público,COMUNIDAD DE MADRID,Madrid-Capital,"calle de peñuelas 31, 28005, Madrid (Arganzuela).",914737711,,http://www.educa.madrid.org/cp.saneugenio.madrid,cp.saneugenio.madrid@educa.madrid.org,Jornada partida,Madrid(Arganzuela),InfII - Pri,,,
28006408,"CP INF-PRI ""TIRSO DE MOLINA""",COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,Público,COMUNIDAD DE MADRID,Madrid-Capital,"calle del bronce 1, 28045, Madrid (Arganzuela).",915278932,914683695,http://www.educa.madrid.org/cp.tirsodemolina.madrid,cp.tirsodemolina.madrid@educa.madrid.org,Jornada partida,Madrid(Arganzuela),InfII - Pri,,,
28010394,"CP INF-PRI ""TOMAS BRETON""",COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,Público,COMUNIDAD DE MADRID,Madrid-Capital,"calle de alejandro dumas 4, 28005, Madrid (Arganzuela).",913642214,913667387,http://www.educa.madrid.org/cp.tomasbreton.madrid,cp.tomasbreton.madrid@educa.madrid.org,Jornada partida,Madrid(Arganzuela),InfII - Pri,,,
28045608,"CEPA ""ARGANZUELA""",CENTRO PÚBLICO DE EDUCACIÓN DE PERSONAS ADULTAS,Público,COMUNIDAD DE MADRID,Madrid-Capital,"calle de la batalla del salado 29, 28045, Madrid (Arganzuela).",915395395/639486024,915395395,http://www.educa.madrid.org/cepa.arganzuela.madrid,cepa.arganzuela.madrid@educa.madrid.org,Sin tipo de jornada identificada,Madrid(Arganzuela),PProf - EPA,,,
